audio_file,text,speaker_id
s03-alu.wav,alu,s03
s03-cemdas.wav,cemdas,s03
s03-ceqer.wav,ceqer,s03
s03-cevulj.wav,cevulj,s03
s03-ciqaw.wav,ciqaw,s03
s03-dalek.wav,dalek,s03
s03-drail.wav,drail,s03
s03-drusa.wav,drusa,s03
s03-gung.wav,gung,s03
s03-iku.wav,iku,s03
s03-ita.wav,ita,s03
s03-kakakaka.wav,kakakaka,s03
s03-kalevelevan.wav,kalevelevan,s03
s03-kaljavevuan.wav,kaljavevuan,s03
s03-kulavau.wav,kulavau,s03
s03-kuli.wav,kuli,s03
s03-ladjap.wav,ladjap,s03
s03-lima.wav,lima,s03
s03-ljavek.wav,ljavek,s03
s03-ljequ.wav,ljequ,s03
s03-luni.wav,luni,s03
s03-maledep.wav,maledep,s03
s03-masulem.wav,masulem,s03
s03-meljay.wav,meljay,s03
s03-ngiyau.wav,ngiyau,s03
s03-pitju.wav,pitju,s03
s03-qacang.wav,qacang,s03
s03-qadaw.wav,qadaw,s03
s03-qam.wav,qam,s03
s03-qayaqayam.wav,qayaqayam,s03
s03-qemudjalj.wav,qemudjalj,s03
s03-qerepus.wav,qerepus,s03
s03-qiljas.wav,qiljas,s03
s03-qudjalj.wav,qudjalj,s03
s03-quljivangraw.wav,quljivangraw,s03
s03-quma.wav,quma,s03
s03-sapuy.wav,sapuy,s03
s03-sepatj.wav,sepatj,s03
s03-siva.wav,siva,s03
s03-sizi.wav,sizi,s03
s03-sulja.wav,sulja,s03
s03-tapuluq.wav,tapuluq,s03
s03-tjelu.wav,tjelu,s03
s03-unem.wav,unem,s03
s03-vatu.wav,vatu,s03
s03-vavuy.wav,vavuy,s03
s03-venali.wav,venali,s03
s03-vitjuqan.wav,vitjuqan,s03
s03-vuyu.wav,vuyu,s03
s03-zung.wav,zung,s03
