audio_file|text|speaker_name
wavs/s03-vuyu.wav|vuyu|@paiwan_speaker
wavs/s03-qacang.wav|qacang|@paiwan_speaker
wavs/s03-pitju.wav|pitju|@paiwan_speaker
wavs/s03-qiljas.wav|qiljas|@paiwan_speaker
wavs/s03-ljequ.wav|ljequ|@paiwan_speaker
wavs/s03-kalevelevan.wav|kalevelevan|@paiwan_speaker
wavs/s03-ciqaw.wav|ciqaw|@paiwan_speaker
wavs/s03-sepatj.wav|sepatj|@paiwan_speaker
wavs/s03-gung.wav|gung|@paiwan_speaker
wavs/s03-cevulj.wav|cevulj|@paiwan_speaker
wavs/s03-drail.wav|drail|@paiwan_speaker
wavs/s03-tapuluq.wav|tapuluq|@paiwan_speaker
wavs/s03-venali.wav|venali|@paiwan_speaker
wavs/s03-vitjuqan.wav|vitjuqan|@paiwan_speaker
wavs/s03-kuli.wav|kuli|@paiwan_speaker
wavs/s03-iku.wav|iku|@paiwan_speaker
wavs/s03-ladjap.wav|ladjap|@paiwan_speaker
wavs/s03-ngiyau.wav|ngiyau|@paiwan_speaker
wavs/s03-quljivangraw.wav|quljivangraw|@paiwan_speaker
wavs/s03-qerepus.wav|qerepus|@paiwan_speaker
wavs/s03-alu.wav|alu|@paiwan_speaker
wavs/s03-vatu.wav|vatu|@paiwan_speaker
wavs/s03-qadaw.wav|qadaw|@paiwan_speaker
wavs/s03-qudjalj.wav|qudjalj|@paiwan_speaker
wavs/s03-dalek.wav|dalek|@paiwan_speaker
wavs/s03-qayaqayam.wav|qayaqayam|@paiwan_speaker
wavs/s03-kakakaka.wav|kakakaka|@paiwan_speaker
wavs/s03-sapuy.wav|sapuy|@paiwan_speaker
wavs/s03-cemdas.wav|cemdas|@paiwan_speaker
wavs/s03-maledep.wav|maledep|@paiwan_speaker
wavs/s03-ceqer.wav|ceqer|@paiwan_speaker
wavs/s03-unem.wav|unem|@paiwan_speaker
wavs/s03-quma.wav|quma|@paiwan_speaker
wavs/s03-meljay.wav|meljay|@paiwan_speaker
wavs/s03-sulja.wav|sulja|@paiwan_speaker
wavs/s03-ita.wav|ita|@paiwan_speaker
wavs/s03-masulem.wav|masulem|@paiwan_speaker
wavs/s03-ljavek.wav|ljavek|@paiwan_speaker
wavs/s03-zung.wav|zung|@paiwan_speaker
wavs/s03-luni.wav|luni|@paiwan_speaker
wavs/s03-drusa.wav|drusa|@paiwan_speaker
wavs/s03-tjelu.wav|tjelu|@paiwan_speaker
wavs/s03-kulavau.wav|kulavau|@paiwan_speaker
wavs/s03-qam.wav|qam|@paiwan_speaker
wavs/s03-siva.wav|siva|@paiwan_speaker
